"country","year","continent","oil_consumption"
"Algeria",1981,"Africa",4.26735905344563
"Algeria",1982,"Africa",4.32523139017408
"Algeria",1983,"Africa",4.44149765016587
"Algeria",1984,"Africa",4.54342243369668
"Algeria",1985,"Africa",4.570206000952
"Algeria",1986,"Africa",4.5852837551805
"Algeria",1987,"Africa",4.59624043416693
"Algeria",1988,"Africa",4.5969666286374
"Algeria",1989,"Africa",4.6438811538587
"Algeria",1990,"Africa",4.71690832132658
"Algeria",1991,"Africa",4.70626361054814
"Algeria",1992,"Africa",4.71225621209614
"Algeria",1993,"Africa",4.70741083993464
"Algeria",1994,"Africa",4.66401440028984
"Algeria",1995,"Africa",4.63620362856826
"Algeria",1996,"Africa",4.58936595444312
"Algeria",1997,"Africa",4.58142037881698
"Algeria",1998,"Africa",4.61183790724608
"Algeria",1999,"Africa",4.59419012514493
"Algeria",2000,"Africa",4.6361163748781
"Algeria",2001,"Africa",4.67081746722395
"Algeria",2002,"Africa",4.77412784232391
"Algeria",2003,"Africa",4.81367917253569
"Algeria",2004,"Africa",4.85792690699795
"Algeria",2005,"Africa",4.89950259584374
"Algeria",2006,"Africa",4.94061332183813
"Algeria",2007,"Africa",5.05241682811121
"Algeria",2008,"Africa",5.13536304816463
"Algeria",2009,"Africa",5.19376208216003
"Algeria",2010,"Africa",5.19328457496059
"Algeria",2011,"Africa",5.25873418771201
"Algeria",2012,"Africa",5.32010331986989
"Algeria",2013,"Africa",5.36404424381069
"Algeria",2014,"Africa",5.40238454620731
"Algeria",2015,"Africa",5.4645053069858
"Algeria",2016,"Africa",5.43568949907933
"Algeria",2017,"Africa",5.41757487019758
"Algeria",2018,"Africa",5.43966066661343
"Algeria",2019,"Africa",5.50100103462069
"Morocco",1965,"Africa",2.44720478260399
"Morocco",1966,"Africa",2.80475334966885
"Morocco",1967,"Africa",2.89878074747754
"Morocco",1968,"Africa",2.99167405009314
"Morocco",1969,"Africa",3.07088612715442
"Morocco",1970,"Africa",3.11648866218977
"Morocco",1971,"Africa",3.17039961141109
"Morocco",1972,"Africa",3.23238417489299
"Morocco",1973,"Africa",3.41127971700367
"Morocco",1974,"Africa",3.48096312790849
"Morocco",1975,"Africa",3.51550772783957
"Morocco",1976,"Africa",3.60351217939263
"Morocco",1977,"Africa",3.72359484120239
"Morocco",1978,"Africa",3.79359976488434
"Morocco",1979,"Africa",3.91941561264764
"Morocco",1980,"Africa",3.93245288693965
"Morocco",1981,"Africa",3.91575602901725
"Morocco",1982,"Africa",3.96692777059743
"Morocco",1983,"Africa",3.97709888216433
"Morocco",1984,"Africa",4.01625688667169
"Morocco",1985,"Africa",4.01204931949527
"Morocco",1986,"Africa",3.99454264297658
"Morocco",1987,"Africa",3.99424794568382
"Morocco",1988,"Africa",4.0608739521605
"Morocco",1989,"Africa",4.15387054153613
"Morocco",1990,"Africa",4.18825983019518
"Morocco",1991,"Africa",4.18935166580044
"Morocco",1992,"Africa",4.354822433183
"Morocco",1993,"Africa",4.37195104597628
"Morocco",1994,"Africa",4.4555210257681
"Morocco",1995,"Africa",4.40103237591324
"Morocco",1996,"Africa",4.34207665567089
"Morocco",1997,"Africa",4.40365357728664
"Morocco",1998,"Africa",4.39465900919465
"Morocco",1999,"Africa",4.49163187871194
"Morocco",2000,"Africa",4.42476279600735
"Morocco",2001,"Africa",4.42660556307184
"Morocco",2002,"Africa",4.46643671455533
"Morocco",2003,"Africa",4.46698799514814
"Morocco",2004,"Africa",4.61141067357755
"Morocco",2005,"Africa",4.69449887593288
"Morocco",2006,"Africa",4.70847559135264
"Morocco",2007,"Africa",4.75296068266267
"Morocco",2008,"Africa",4.85041959248452
"Morocco",2009,"Africa",4.86083513700626
"Morocco",2010,"Africa",4.96723358608572
"Morocco",2011,"Africa",5.03206404950955
"Morocco",2012,"Africa",5.03825694619251
"Morocco",2013,"Africa",5.04968291534692
